name,x,y,z,yaw,pitch,roll
frame000025.png,-24.26894189229683,-15.53502000493851,2.913188090971028,100.4301249952507,89.30716715186114,31.83263465761507
frame000026.png,-24.25575351534391,-15.09474969398061,2.941327248342954,106.1384335513298,89.24612705751252,37.15767301136328
frame000027.png,-24.18091674243876,-14.5954079815237,2.933767144530828,110.1487000674282,89.19407565300811,41.76087473286353
frame000028.png,-24.12801206084374,-14.1138452731718,2.971670158151449,115.5993367544724,89.17509541955208,47.11965821844706
frame000029.png,-23.99851899020428,-13.75963818354342,2.96724348833444,120.2730236602923,89.07371146391351,52.14520648619438
frame000030.png,-23.94284026413394,-13.54732097650186,2.964477318940522,124.5840851921593,89.05412710359496,57.85058102990551
frame000031.png,-23.9583441296556,-13.03867047363368,2.970476092587964,117.7727055691155,89.19469706331789,52.14083915480957
frame000032.png,-23.81041103363987,-12.52931679513988,2.988440005476983,116.9437973156231,89.1140475859726,52.93900811589501
frame000033.png,-23.87476554847586,-12.07544524387887,2.986149103802291,123.311348952716,89.23176664827565,60.76205693087248
frame000034.png,-23.83858537608001,-11.65785529179595,2.99042935347014,121.943464332488,89.15784645000639,60.02437658923196
frame000035.png,-23.6396509686274,-11.18858376087504,3.008655838794436,117.1562335777544,89.15981536045308,55.84241918397348
frame000036.png,-23.66520871267742,-10.58317261351258,3.027196489913611,114.186893221148,89.32506485209777,53.00849248322999
frame000037.png,-23.37747073003578,-10.05563640100387,3.028314608842972,108.562126531795,89.17653696337135,48.00507319685927
frame000038.png,-23.3128655571538,-9.533181078959782,3.032717057111691,107.985706509119,89.34970858717007,48.04999440907683
frame000039.png,-23.12840165159183,-9.07766698142672,3.034282191008427,110.1351256235328,89.34221616631797,50.82100158492749
frame000040.png,-22.96595475709779,-8.555505312275466,3.015227804152075,106.1166653358466,89.45748176493586,47.37052081941922
frame000041.png,-22.84100894468959,-7.955292303430036,2.987531711565274,98.45417238118696,89.45897625046001,39.91335609721985
frame000042.png,-22.62872562557775,-7.347330143591583,3.007014429965329,95.25812458317991,89.49356197247371,37.25018259904163
frame000043.png,-22.53083259158889,-6.759779892297841,3.004682519852007,89.54543439032722,89.55279736156602,32.14054022257476
frame000044.png,-22.28569424312326,-6.176055979752008,3.01634778304956,79.32971932568039,89.5067816453749,22.51498364212336
frame000045.png,-22.23350106296773,-5.60412910723955,3.020120149369525,72.32244901501423,89.6606658843648,15.30235885594865
frame000046.png,-21.93862881196322,-5.06112949810419,3.018074088941655,74.54310323382506,89.52593229003595,17.1035890511935
frame000047.png,-21.76906456554727,-4.499378094983353,3.006490222940541,67.80399585816197,89.62758246775643,9.943792000483826
frame000048.png,-21.5107156437602,-3.959564545094408,2.960068415260865,72.86489513450924,89.62472808135526,14.43801720288903
frame000049.png,-21.32958349994419,-3.453650598410385,2.870181507368018,62.19317927894692,89.70652780332101,3.378601044383639
frame000050.png,-21.18567696616899,-2.77689320778043,2.889603693335315,53.49472166067964,89.69309422276299,-6.398841073759526
frame000051.png,-20.97362918561119,-2.077971676693798,2.882743990338658,44.80120586242893,89.70860630689457,-15.47867317346166
frame000052.png,-20.88400219676559,-1.388195004122212,2.887395388057256,32.11254706095045,89.7518479314745,-29.89335383750472
frame000053.png,-20.80875050314823,-0.6338974995820905,2.899052738698181,17.57022515057556,89.77280633122115,-44.91291350483338
frame000054.png,-20.84926393943846,0.1173730508612216,2.889391676442342,8.888094973197711,89.75251812820972,-54.49254353641184
frame000055.png,-20.70022335876815,0.7965838191067789,2.887495243991779,24.35949977072615,89.74611386472586,-39.4151747337655
frame000056.png,-20.8204750909889,1.570850261598935,2.885488007649103,-8.874531385810375,89.70437921460086,-73.12769108963874
frame000057.png,-20.78995709247206,2.330235760813445,2.872339098609288,16.28692630007932,89.72144689102375,-48.36793190418452
frame000058.png,-20.7654598682852,2.999970649426438,2.872508884858988,12.87808961485534,89.75914433383828,-52.82210447690091
frame000059.png,-20.68341655479153,3.666504965352987,2.833476893999325,22.44759249455725,89.80266033023373,-44.53851977181539
frame000060.png,-20.44039924020592,4.424781329791114,2.829642392637382,28.97705058148408,89.76150804000437,-39.98606561719239
frame000061.png,-20.05662312922885,5.242094386977925,2.811331969664674,39.60885796061274,89.74340686782281,-31.33843680938439
frame000062.png,-19.6855058362312,5.994240261433036,2.819365357315589,41.42391289132892,89.79992183512815,-30.65956639346386
frame000063.png,-19.42924954190573,6.699395631866713,2.830463652290954,45.44759719186406,89.80484393093762,-28.93112368293263
frame000064.png,-19.04885249060393,7.174788080339565,2.836657856900088,70.09682029163075,89.69585339414786,-13.44929976527146
frame000065.png,-18.77262121029349,7.733894902507133,2.859491308226521,77.0061965077623,89.63595848978356,-16.89086814997288
frame000066.png,-18.41317372886811,8.09685297885124,2.857635017358602,99.44239762833234,89.47254040877893,-1.982990503949217
frame000067.png,-18.16222523237301,8.603083588309101,2.881697007536299,105.0012341694511,89.43367950491069,-5.949650814105299
frame000068.png,-17.86216970816491,9.274054219745743,2.866449149822018,106.121987118209,89.45340111122404,-9.646668775262011
frame000069.png,-17.47868534638819,9.99135570450278,2.870737497562457,106.8565067649248,89.3724844151409,-10.03996935764123
frame000070.png,-17.17582699607362,10.59526618913194,2.865901328891295,115.4843494985411,89.32913620554028,-1.941752678877534
frame000071.png,-16.74554557473908,11.06310731054799,2.858337890764925,117.289409732309,89.19473868236629,-0.644223130984602
frame000072.png,-16.4681685418077,11.68251888684365,2.887801304493022,118.638396507614,89.24882873694622,0
frame000073.png,-16.18743859314997,11.85678213781699,2.902008665309516,127.9343589455618,89.07495129728015,8.743218118273665
frame000074.png,-16.12380312319174,12.13321758202383,2.961511325096471,124.3261920929669,89.2046044123032,4.559654834056264
frame000075.png,-15.99436099429781,12.53254036504786,2.95616545515476,120.0950049018014,89.22682063997594,-0.2083207933498675
frame000076.png,-15.69524505683997,12.91712224397327,2.93106326803899,116.8644680311526,89.1607812547245,-3.965576842586146
frame000077.png,-15.39599248268972,13.36246751844818,2.958904094879898,115.0455554124106,89.14501625782557,-6.31263618426659
frame000078.png,-15.14586323756004,13.8140699960311,2.960518046872438,114.3440808701337,89.17694926794978,-7.541117901722919
frame000079.png,-14.75710812096891,14.18221598664247,2.955170474553113,112.0506396699708,89.09571669405463,-10.34674944998773
